"Qubit","T1 (us)","T2 (us)","Frequency (GHz)","Anharmonicity (GHz)","Readout assignment error ","Prob meas0 prep1 ","Prob meas1 prep0 ","Readout length (ns)","ID error ","Z-axis rotation (rz) error ","√x (sx) error ","Pauli-X error ","ECR error ","Gate time (ns)","Operational"
"48","465.97566872855384","63.19297400248618","4.579630794536385","-0.3128527566038631","0.012939453125","0.01953125","0.00634765625","1500","0.00014048109215489314","0","0.00014048109215489314","0.00014048109215489314","48_49:0.009342592301433472","48_49:660","true"
"49","142.47460701288446","142.71803156610585","4.800107619308228","-0.30991217018271416","0.019775390625","0.0146484375","0.02490234375","1500","0.00019603542008947525","0","0.00019603542008947525","0.00019603542008947525","49_55:0.005633480742347874;49_50:0.01769728573211049","49_55:660;49_50:660","true"
"50","128.40734888405964","22.47325260125856","4.728297587684325","-0.29945163021072196","0.052001953125","0.03759765625","0.06640625","1500","0.0007480068312912695","0","0.0007480068312912695","0.0007480068312912695","50_51:0.019120876161126843","50_51:660","true"
"51","395.2825751081167","95.59909380999886","4.770216453543319","-0.3103199215304916","0.0244140625","0.0205078125","0.0283203125","1500","0.00024624148770881795","0","0.00024624148770881795","0.00024624148770881795","51_36:0.0070490690880766205","51_36:660","true"
"52","232.79421048035977","13.72186560733137","4.872440454536834","-0.3083517743708508","0.01806640625","0.01513671875","0.02099609375","1500","0.0015234663020271056","0","0.0015234663020271056","0.0015234663020271056","52_56:0.02395061035419155","52_56:660","true"
"53","253.58672907992033","238.7930853801997","4.986592979316379","-0.30629751568776786","0.01904296875","0.01318359375","0.02490234375","1500","0.0001451774572330076","0","0.0001451774572330076","0.0001451774572330076","53_41:0.017538951431659566;53_60:0.004852381924853266","53_41:660;53_60:660","true"
"54","300.21244428146025","291.96327721050613","4.914395290871557","-0.3079640927175306","0.03076171875","0.02099609375","0.04052734375","1500","0.00016633632724960228","0","0.00016633632724960228","0.00016633632724960228","54_64:0.00594517527013505","54_64:660","true"
"55","280.18613415472595","153.4607146442841","4.89244257751448","-0.3081475212630315","0.0087890625","0.0078125","0.009765625","1500","0.000155272380517566","0","0.000155272380517566","0.000155272380517566","55_68:0.007213683719401065","55_68:660","true"
"56","177.06738234134858","154.4794768225383","4.947872198137268","-0.30736402539631974","0.01025390625","0.0107421875","0.009765625","1500","0.00020052978305762915","0","0.00020052978305762915","0.00020052978305762915","","","true"
"57","259.8340317224065","129.82934860445562","4.742898271051931","-0.3094608182229042","0.01318359375","0.013671875","0.0126953125","1500","0.00013510530787096557","0","0.00013510530787096557","0.00013510530787096557","57_56:0.006841941779974714;57_58:0.009007302902298786","57_56:660;57_58:660","true"
"58","355.4888990088716","297.7160165905989","4.865285246001816","-0.3095826382056906","0.15283203125","0.20947265625","0.09619140625","1500","0.0025552152922906253","0","0.0025552152922906253","0.0025552152922906253","58_59:0.006046062152979315","58_59:660","true"
"59","180.52032736858266","48.63355204334991","4.798092405084199","-0.309161380353075","0.02099609375","0.0166015625","0.025390625","1500","0.00015787221851791997","0","0.00015787221851791997","0.00015787221851791997","59_60:0.005404480655513411","59_60:660","true"
"60","172.48926677459383","223.72700851736755","4.922176950272524","-0.3076859354736121","0.01416015625","0.01416015625","0.01416015625","1500","0.00012973169966393463","0","0.00012973169966393463","0.00012973169966393463","60_61:0.009539848164379527","60_61:660","true"
"61","60.39763645784533","44.1876766232051","4.826970497889958","-0.3017545216047978","0.028564453125","0.0185546875","0.03857421875","1500","0.00035998108769527573","0","0.00035998108769527573","0.00035998108769527573","","","true"
"62","223.54023664864005","192.33985606971854","4.8730010956619925","-0.30910053075251653","0.01513671875","0.01025390625","0.02001953125","1500","0.0002731125409196733","0","0.0002731125409196733","0.0002731125409196733","62_72:0.0142121425707038;62_61:0.01170297057769254","62_72:660;62_61:660","true"
